ts,pnl,position
2024-02-18 00:00:00,48.47200000000001,1.0
2024-02-18 01:00:00,47.515,1.0
2024-02-18 02:00:00,37.518,1.0
2024-02-18 03:00:00,43.605000000000004,1.0
2024-02-18 04:00:00,46.028999999999996,1.0
2024-02-18 05:00:00,41.08399999999999,1.0
2024-02-18 06:00:00,39.66799999999999,1.0
2024-02-18 07:00:00,37.765,1.0
2024-02-18 08:00:00,40.211,1.0
2024-02-18 09:00:00,46.687,1.0
2024-02-18 10:00:00,-70.216,1.0
2024-02-18 11:00:00,80.673,1.0
2024-02-18 12:00:00,88.013,1.0
2024-02-18 13:00:00,-61.486999999999995,1.0
2024-02-18 14:00:00,82.39099999999999,1.0
2024-02-18 15:00:00,79.83569000000001,1.0
2024-02-18 16:00:00,47.02499999999999,1.0
2024-02-18 17:00:00,37.56200000000001,1.0
2024-02-18 18:00:00,38.391000000000005,1.0
2024-02-18 19:00:00,34.93900000000001,1.0
2024-02-18 20:00:00,28.09899999999999,1.0
2024-02-18 21:00:00,32.503,1.0
2024-02-18 22:00:00,35.759,1.0
2024-02-18 23:00:00,-37.172,1.0
2024-02-19 00:00:00,-36.623,1.0
2024-02-19 01:00:00,-60.32899999999999,1.0
2024-02-19 02:00:00,-71.457,1.0
2024-02-19 03:00:00,-53.881,1.0
2024-02-19 04:00:00,-52.335,1.0
2024-02-19 05:00:00,124.481,1.0
2024-02-19 06:00:00,61.897999999999996,1.0
2024-02-19 07:00:00,66.238,1.0
2024-02-19 08:00:00,21.413999999999987,1.0
2024-02-19 09:00:00,29.455000000000013,1.0
2024-02-19 10:00:00,-47.33899999999999,1.0
2024-02-19 11:00:00,-42.06999999999999,1.0
2024-02-19 12:00:00,-0.0,0.0
2024-02-19 13:00:00,-20.811000000000007,1.0
2024-02-19 14:00:00,-28.266999999999996,1.0
2024-02-19 15:00:00,-52.709999999999994,1.0
2024-02-19 16:00:00,-54.73499999999999,1.0
2024-02-19 17:00:00,-45.403000000000006,1.0
2024-02-19 18:00:00,45.821,1.0
2024-02-19 19:00:00,-45.02499999999999,1.0
2024-02-19 20:00:00,0.0,0.0
2024-02-19 21:00:00,0.0,0.0
2024-02-19 22:00:00,0.0,0.0
2024-02-19 23:00:00,0.0,0.0
2024-02-20 00:00:00,-35.25,1.0
2024-02-20 01:00:00,49.825,1.0
2024-02-20 02:00:00,75.42099999999999,1.0
2024-02-20 03:00:00,0.0,0.0
2024-02-20 04:00:00,0.0,0.0
2024-02-20 05:00:00,0.0,0.0
2024-02-20 06:00:00,39.87899999999999,1.0
2024-02-20 07:00:00,55.974000000000004,1.0
2024-02-20 08:00:00,0.0,0.0
2024-02-20 09:00:00,-0.0,0.0
2024-02-20 10:00:00,-0.0,0.0
2024-02-20 11:00:00,-58.464,1.0
2024-02-20 12:00:00,-15.366999999999997,1.0
2024-02-20 13:00:00,-0.0,0.0
2024-02-20 14:00:00,-0.0,0.0
2024-02-20 15:00:00,-0.0,0.0
2024-02-20 16:00:00,-0.0,0.0
2024-02-20 17:00:00,-0.0,0.0
2024-02-20 18:00:00,-0.0,0.0
2024-02-20 19:00:00,-0.0,0.0
2024-02-20 20:00:00,0.0,0.0
2024-02-20 21:00:00,-40.984,1.0
2024-02-20 22:00:00,53.968,1.0
2024-02-20 23:00:00,-139.523,1.0
2024-02-21 00:00:00,-35.00900000000001,1.0
2024-02-21 01:00:00,0.0,0.0
2024-02-21 02:00:00,3.2139999999999986,1.0
2024-02-21 03:00:00,65.57,1.0
2024-02-21 04:00:00,26.765,1.0
2024-02-21 05:00:00,58.51400000000001,1.0
2024-02-21 06:00:00,47.53899999999999,1.0
2024-02-21 07:00:00,60.83000000000001,1.0
2024-02-21 08:00:00,61.117000000000004,1.0
2024-02-21 09:00:00,-36.512,1.0
2024-02-21 10:00:00,-14.390999999999991,1.0
2024-02-21 11:00:00,-33.259,1.0
2024-02-21 12:00:00,-34.40968,1.0
2024-02-21 13:00:00,-38.215,1.0
2024-02-21 14:00:00,48.565,1.0
2024-02-21 15:00:00,45.123999999999995,1.0
2024-02-21 16:00:00,72.164,1.0
2024-02-21 17:00:00,47.08699999999999,1.0
2024-02-21 18:00:00,40.32600000000001,1.0
2024-02-21 19:00:00,40.10958000000001,1.0
2024-02-21 20:00:00,76.28279,1.0
2024-02-21 21:00:00,0.0,0.0
2024-02-21 22:00:00,0.0,0.0
2024-02-21 23:00:00,0.0,0.0
2024-02-22 00:00:00,-52.03389,1.0
2024-02-22 01:00:00,-35.77066000000001,1.0
2024-02-22 02:00:00,-22.778,1.0
2024-02-22 03:00:00,-0.0,0.0
2024-02-22 04:00:00,-56.95700000000001,1.0
2024-02-22 05:00:00,70.61600000000001,1.0
2024-02-22 06:00:00,46.70599999999999,1.0
2024-02-22 07:00:00,0.0,0.0
2024-02-22 08:00:00,13.427939999999978,1.0
2024-02-22 09:00:00,0.0,0.0
2024-02-22 10:00:00,0.0,0.0
2024-02-22 11:00:00,54.43375,1.0
2024-02-22 12:00:00,0.0,0.0
2024-02-22 13:00:00,0.0,0.0
2024-02-22 14:00:00,0.0,0.0
2024-02-22 15:00:00,0.0,0.0
2024-02-22 16:00:00,59.518,1.0
2024-02-22 17:00:00,0.0,0.0
2024-02-22 18:00:00,34.31999999999999,1.0
2024-02-22 19:00:00,38.306,1.0
2024-02-22 20:00:00,43.30399999999999,1.0
2024-02-22 21:00:00,47.494,1.0
2024-02-22 22:00:00,49.06900000000002,1.0
2024-02-22 23:00:00,-49.541999999999994,1.0
2024-02-23 00:00:00,64.76899999999999,1.0
2024-02-23 01:00:00,0.0,1.0
2024-02-23 02:00:00,78.526,1.0
2024-02-23 03:00:00,-35.826,1.0
2024-02-23 04:00:00,-0.0,0.0
2024-02-23 05:00:00,71.16999999999999,1.0
2024-02-23 06:00:00,52.31399999999999,1.0
2024-02-23 07:00:00,59.54699999999998,1.0
2024-02-23 08:00:00,66.58999999999999,1.0
2024-02-23 09:00:00,69.65106999999999,1.0
2024-02-23 10:00:00,0.0,0.0
2024-02-23 11:00:00,0.0,0.0
2024-02-23 12:00:00,0.0,0.0
2024-02-23 13:00:00,0.0,0.0
2024-02-23 14:00:00,0.0,0.0
2024-02-23 15:00:00,0.0,0.0
2024-02-23 16:00:00,0.0,0.0
2024-02-23 17:00:00,0.0,0.0
2024-02-23 18:00:00,46.358000000000004,1.0
2024-02-23 19:00:00,45.59,1.0
2024-02-23 20:00:00,52.73899999999999,1.0
2024-02-23 21:00:00,46.914,1.0
2024-02-23 22:00:00,49.807,1.0
2024-02-23 23:00:00,0.0,0.0
2024-02-24 00:00:00,-0.0,0.0
2024-02-24 01:00:00,-0.0,0.0
2024-02-24 02:00:00,95.856,1.0
2024-02-24 03:00:00,-0.0,0.0
2024-02-24 04:00:00,-0.0,0.0
2024-02-24 05:00:00,0.0,0.0
2024-02-24 06:00:00,0.0,0.0
2024-02-24 07:00:00,58.906000000000006,1.0
2024-02-24 08:00:00,0.0,0.0
2024-02-24 09:00:00,57.04275,1.0
2024-02-24 10:00:00,57.353300000000004,1.0
2024-02-24 11:00:00,69.9977,1.0
2024-02-24 12:00:00,0.0,0.0
2024-02-24 13:00:00,77.49819,1.0
2024-02-24 14:00:00,0.0,0.0
2024-02-24 15:00:00,0.0,0.0
2024-02-24 16:00:00,0.0,0.0
2024-02-24 17:00:00,0.0,0.0
2024-02-24 18:00:00,0.0,0.0
2024-02-24 19:00:00,0.0,0.0
2024-02-24 20:00:00,0.0,0.0
2024-02-24 21:00:00,0.0,0.0
2024-02-24 22:00:00,-0.0,0.0
2024-02-24 23:00:00,0.0,0.0
2024-02-25 00:00:00,0.0,0.0
2024-02-25 01:00:00,0.0,0.0
2024-02-25 02:00:00,40.851,1.0
2024-02-25 03:00:00,28.99499999999999,1.0
2024-02-25 04:00:00,59.399,1.0
2024-02-25 05:00:00,0.0,1.0
2024-02-25 06:00:00,59.178,1.0
2024-02-25 07:00:00,49.025000000000006,1.0
2024-02-25 08:00:00,49.44799999999999,1.0
2024-02-25 09:00:00,-46.054,1.0
2024-02-25 10:00:00,-0.0,0.0
2024-02-25 11:00:00,-0.0,0.0
2024-02-25 12:00:00,0.0,0.0
2024-02-25 13:00:00,-0.0,0.0
2024-02-25 14:00:00,-0.0,0.0
2024-02-25 15:00:00,-66.961,1.0
2024-02-25 16:00:00,-57.40912999999999,1.0
2024-02-25 17:00:00,-187.179,1.0
2024-02-25 18:00:00,68.07418999999999,1.0
2024-02-25 19:00:00,56.006,1.0
2024-02-25 20:00:00,68.46799999999999,1.0
2024-02-25 21:00:00,82.48,1.0
2024-02-25 22:00:00,0.0,0.0
2024-02-25 23:00:00,0.0,0.0
2024-02-26 00:00:00,0.0,0.0
2024-02-26 01:00:00,0.0,0.0
2024-02-26 02:00:00,0.0,0.0
2024-02-26 03:00:00,73.62799999999999,1.0
2024-02-26 04:00:00,69.56500000000001,1.0
2024-02-26 05:00:00,1026.372,1.0
2024-02-26 06:00:00,46.891000000000005,1.0
2024-02-26 07:00:00,84.89976999999999,1.0
2024-02-26 08:00:00,32.37531,1.0
2024-02-26 09:00:00,0.0,0.0
2024-02-26 10:00:00,0.0,0.0
2024-02-26 11:00:00,47.79941000000001,1.0
2024-02-26 12:00:00,45.408000000000015,1.0
2024-02-26 13:00:00,47.603269999999995,1.0
2024-02-26 14:00:00,0.0,0.0
2024-02-26 15:00:00,0.0,0.0
2024-02-26 16:00:00,0.0,0.0
2024-02-26 17:00:00,52.661,1.0
2024-02-26 18:00:00,58.41699999999999,1.0
2024-02-26 19:00:00,58.93000000000001,1.0
2024-02-26 20:00:00,48.60300000000001,1.0
2024-02-26 21:00:00,51.379999999999995,1.0
2024-02-26 22:00:00,45.24900000000001,1.0
2024-02-26 23:00:00,63.099999999999994,1.0
2024-02-27 00:00:00,53.992000000000004,1.0
2024-02-27 01:00:00,43.89,1.0
2024-02-27 02:00:00,66.811,1.0
2024-02-27 03:00:00,-12.46,1.0
2024-02-27 04:00:00,53.787000000000006,1.0
2024-02-27 05:00:00,-0.0,0.0
2024-02-27 06:00:00,0.0,0.0
2024-02-27 07:00:00,53.95405000000001,1.0
2024-02-27 08:00:00,51.508999999999986,1.0
2024-02-27 09:00:00,0.0,0.0
2024-02-27 10:00:00,0.0,0.0
2024-02-27 11:00:00,0.0,0.0
2024-02-27 12:00:00,0.0,0.0
2024-02-27 13:00:00,0.0,0.0
2024-02-27 14:00:00,0.0,0.0
2024-02-27 15:00:00,0.0,0.0
2024-02-27 16:00:00,0.0,0.0
2024-02-27 17:00:00,39.33699999999999,1.0
2024-02-27 18:00:00,31.726190000000003,1.0
2024-02-27 19:00:00,39.30900000000001,1.0
2024-02-27 20:00:00,43.90700000000001,1.0
2024-02-27 21:00:00,0.0,0.0
2024-02-27 22:00:00,0.0,0.0
2024-02-27 23:00:00,-0.0,0.0
2024-02-28 00:00:00,-0.0,0.0
2024-02-28 01:00:00,-36.189,1.0
2024-02-28 02:00:00,-0.0,0.0
2024-02-28 03:00:00,-0.0,0.0
2024-02-28 04:00:00,-0.0,0.0
2024-02-28 05:00:00,-0.0,0.0
2024-02-28 06:00:00,-0.0,0.0
2024-02-28 07:00:00,-0.0,0.0
2024-02-28 08:00:00,-0.0,0.0
2024-02-28 09:00:00,0.0,0.0
2024-02-28 10:00:00,0.0,0.0
2024-02-28 11:00:00,0.0,0.0
2024-02-28 12:00:00,0.0,0.0
2024-02-28 13:00:00,-0.0,0.0
2024-02-28 14:00:00,0.0,0.0
2024-02-28 15:00:00,-0.0,0.0
2024-02-28 16:00:00,-0.0,0.0
2024-02-28 17:00:00,-0.0,0.0
2024-02-28 18:00:00,51.20245,1.0
2024-02-28 19:00:00,0.0,0.0
2024-02-28 20:00:00,0.0,0.0
2024-02-28 21:00:00,0.0,0.0
2024-02-28 22:00:00,-0.0,0.0
2024-02-28 23:00:00,-0.0,0.0
2024-02-29 00:00:00,-0.0,0.0
2024-02-29 01:00:00,-0.0,0.0
2024-02-29 02:00:00,-0.0,0.0
2024-02-29 03:00:00,-0.0,0.0
2024-02-29 04:00:00,-0.0,0.0
2024-02-29 05:00:00,-0.0,0.0
2024-02-29 06:00:00,-39.37700000000001,1.0
2024-02-29 07:00:00,0.0,0.0
2024-02-29 08:00:00,-0.0,0.0
2024-02-29 09:00:00,0.0,0.0
2024-02-29 10:00:00,0.0,0.0
2024-02-29 11:00:00,0.0,0.0
