ts,pnl,position
2024-02-10 00:00:00,-39.553,-1.0
2024-02-10 01:00:00,102.888,-1.0
2024-02-10 02:00:00,56.017999999999994,-1.0
2024-02-10 03:00:00,58.32663,-1.0
2024-02-10 04:00:00,14.595640000000003,-1.0
2024-02-10 05:00:00,22.50381,-1.0
2024-02-10 06:00:00,58.988,-1.0
2024-02-10 07:00:00,-74.179,-1.0
2024-02-10 08:00:00,-68.428,-1.0
2024-02-10 09:00:00,-65.90499999999999,-1.0
2024-02-10 10:00:00,-73.25216999999999,-1.0
2024-02-10 11:00:00,-82.31,-1.0
2024-02-10 12:00:00,-76.97299999999998,-1.0
2024-02-10 13:00:00,-71.233,-1.0
2024-02-10 14:00:00,-71.79602000000001,-1.0
2024-02-10 15:00:00,-59.416,-1.0
2024-02-10 16:00:00,-53.80200000000002,-1.0
2024-02-10 17:00:00,-51.156000000000006,-1.0
2024-02-10 18:00:00,-56.179,-1.0
2024-02-10 19:00:00,-51.636999999999986,-1.0
2024-02-10 20:00:00,-46.31899999999999,-1.0
2024-02-10 21:00:00,-50.95400000000001,-1.0
2024-02-10 22:00:00,70.905,-1.0
2024-02-10 23:00:00,65.26100000000001,-1.0
2024-02-11 00:00:00,63.95577,-1.0
2024-02-11 01:00:00,29.63579,-1.0
2024-02-11 02:00:00,44.85393,-1.0
2024-02-11 03:00:00,31.819580000000002,-1.0
2024-02-11 04:00:00,25.1946,-1.0
2024-02-11 05:00:00,44.77873,-1.0
2024-02-11 06:00:00,49.04614,-1.0
2024-02-11 07:00:00,168.144,-1.0
2024-02-11 08:00:00,99.602,-1.0
2024-02-11 09:00:00,68.45400000000001,-1.0
2024-02-11 10:00:00,73.55,-1.0
2024-02-11 11:00:00,64.36695999999999,-1.0
2024-02-11 12:00:00,60.128389999999996,-1.0
2024-02-11 13:00:00,55.23588,-1.0
2024-02-11 14:00:00,54.06633,-1.0
2024-02-11 15:00:00,60.74,-1.0
2024-02-11 16:00:00,83.91,-1.0
2024-02-11 17:00:00,-81.839,-1.0
2024-02-11 18:00:00,-89.81499999999998,-1.0
2024-02-11 19:00:00,-50.78999999999999,-1.0
2024-02-11 20:00:00,17.918999999999997,-1.0
2024-02-11 21:00:00,41.424,-1.0
2024-02-11 22:00:00,69.456,-1.0
2024-02-11 23:00:00,28.679000000000002,-1.0
2024-02-12 00:00:00,47.84452,-1.0
2024-02-12 01:00:00,0.00046000000000390173,-1.0
2024-02-12 02:00:00,51.92078,-1.0
2024-02-12 03:00:00,0.0002599999999972624,-1.0
2024-02-12 04:00:00,-0.0,-1.0
2024-02-12 05:00:00,-0.0,-1.0
2024-02-12 06:00:00,-0.0,-1.0
2024-02-12 07:00:00,37.29400000000001,-1.0
2024-02-12 08:00:00,43.575,-1.0
2024-02-12 09:00:00,25.872339999999994,-1.0
2024-02-12 10:00:00,28.497,-1.0
2024-02-12 11:00:00,22.643079999999998,-1.0
2024-02-12 12:00:00,27.962000000000003,-1.0
2024-02-12 13:00:00,47.449000000000005,-1.0
2024-02-12 14:00:00,42.592999999999996,-1.0
2024-02-12 15:00:00,31.903999999999996,-1.0
2024-02-12 16:00:00,33.785,-1.0
2024-02-12 17:00:00,39.822,-1.0
2024-02-12 18:00:00,-39.998000000000005,-1.0
2024-02-12 19:00:00,-45.926,-1.0
2024-02-12 20:00:00,38.161,-1.0
2024-02-12 21:00:00,26.421999999999997,-1.0
2024-02-12 22:00:00,52.389,-1.0
2024-02-12 23:00:00,14.178000000000011,-1.0
2024-02-13 00:00:00,-46.002999999999986,-1.0
2024-02-13 01:00:00,-50.164,-1.0
2024-02-13 02:00:00,-42.593,-1.0
2024-02-13 03:00:00,-49.74600000000001,-1.0
2024-02-13 04:00:00,-45.31,-1.0
2024-02-13 05:00:00,-49.120000000000005,-1.0
2024-02-13 06:00:00,-72.86099999999999,-1.0
2024-02-13 07:00:00,-65.701,-1.0
2024-02-13 08:00:00,-57.872,-1.0
2024-02-13 09:00:00,105.873,-1.0
2024-02-13 10:00:00,103.392,-1.0
2024-02-13 11:00:00,11.024000000000001,-1.0
2024-02-13 12:00:00,43.097,-1.0
2024-02-13 13:00:00,28.092999999999996,-1.0
2024-02-13 14:00:00,34.029,-1.0
2024-02-13 15:00:00,19.47764,-1.0
2024-02-13 16:00:00,50.897000000000006,-1.0
2024-02-13 17:00:00,42.5421,-1.0
2024-02-13 18:00:00,-67.534,-1.0
2024-02-13 19:00:00,-74.35520000000001,-1.0
2024-02-13 20:00:00,-74.51599999999999,-1.0
2024-02-13 21:00:00,163.65300000000002,-1.0
2024-02-13 22:00:00,27.402,-1.0
2024-02-13 23:00:00,51.802,-1.0
2024-02-14 00:00:00,46.09,-1.0
2024-02-14 01:00:00,-62.120999999999995,-1.0
2024-02-14 02:00:00,-65.751,-1.0
2024-02-14 03:00:00,-62.751,-1.0
2024-02-14 04:00:00,-68.16999999999999,-1.0
2024-02-14 05:00:00,-67.08475,-1.0
2024-02-14 06:00:00,-64.37,-1.0
2024-02-14 07:00:00,-57.31899999999999,-1.0
2024-02-14 08:00:00,897.2719999999999,-1.0
2024-02-14 09:00:00,1855.32571,-1.0
2024-02-14 10:00:00,23.67713,-1.0
2024-02-14 11:00:00,-0.0,-1.0
2024-02-14 12:00:00,-0.0,-1.0
2024-02-14 13:00:00,1.968040000000002,-1.0
2024-02-14 14:00:00,39.92087000000001,-1.0
2024-02-14 15:00:00,37.189730000000004,-1.0
2024-02-14 16:00:00,44.46000000000001,-1.0
2024-02-14 17:00:00,54.872,-1.0
2024-02-14 18:00:00,48.113000000000014,-1.0
2024-02-14 19:00:00,-27.683999999999997,-1.0
2024-02-14 20:00:00,43.337,-1.0
2024-02-14 21:00:00,36.55199999999999,-1.0
2024-02-14 22:00:00,27.608999999999995,-1.0
2024-02-14 23:00:00,-49.52600000000001,-1.0
2024-02-15 00:00:00,-45.159000000000006,-1.0
2024-02-15 01:00:00,-55.396,-1.0
2024-02-15 02:00:00,-50.66,-1.0
2024-02-15 03:00:00,43.426,-1.0
2024-02-15 04:00:00,69.351,-1.0
2024-02-15 05:00:00,72.83,-1.0
2024-02-15 06:00:00,-45.082999999999984,-1.0
2024-02-15 07:00:00,-49.76400000000001,-1.0
2024-02-15 08:00:00,54.83698,-1.0
2024-02-15 09:00:00,56.82132,-1.0
2024-02-15 10:00:00,39.143,-1.0
2024-02-15 11:00:00,33.913,-1.0
2024-02-15 12:00:00,40.333,-1.0
2024-02-15 13:00:00,48.305,-1.0
2024-02-15 14:00:00,33.992999999999995,-1.0
2024-02-15 15:00:00,26.303970000000007,-1.0
2024-02-15 16:00:00,30.494,-1.0
2024-02-15 17:00:00,45.30099999999999,-1.0
2024-02-15 18:00:00,-48.377999999999986,-1.0
2024-02-15 19:00:00,-102.63699999999999,-1.0
2024-02-15 20:00:00,-47.894999999999996,-1.0
2024-02-15 21:00:00,-44.45400000000001,-1.0
2024-02-15 22:00:00,-46.90799999999999,-1.0
2024-02-15 23:00:00,-44.24799999999999,-1.0
2024-02-16 00:00:00,-31.92200000000001,-1.0
2024-02-16 01:00:00,-36.211,-1.0
2024-02-16 02:00:00,-25.482,-1.0
2024-02-16 03:00:00,-46.385000000000005,-1.0
2024-02-16 04:00:00,-32.07100000000001,-1.0
2024-02-16 05:00:00,-25.376999999999995,-1.0
2024-02-16 06:00:00,-54.92099999999999,-1.0
2024-02-16 07:00:00,-49.054,-1.0
2024-02-16 08:00:00,-41.27900000000001,-1.0
2024-02-16 09:00:00,257.922,-1.0
2024-02-16 10:00:00,14.930999999999997,-1.0
2024-02-16 11:00:00,11.689999999999998,-1.0
2024-02-16 12:00:00,55.033,-1.0
2024-02-16 13:00:00,9.632000000000005,-1.0
2024-02-16 14:00:00,11.521,-1.0
2024-02-16 15:00:00,21.72399999999999,-1.0
2024-02-16 16:00:00,-45.147999999999996,-1.0
2024-02-16 17:00:00,-50.32500000000002,-1.0
2024-02-16 18:00:00,-42.313,-1.0
2024-02-16 19:00:00,-35.373999999999995,-1.0
